timestamp,open,high,low,close,volume,timeframe,source,source_type,is_percentage,lookahead_safe
2025-04-23 04:00:00+00:00,52.539,52.87,52.2,52.817,538.786,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-23 08:00:00+00:00,52.817,52.891,52.172,52.377,391.69,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-23 12:00:00+00:00,52.375,52.752,52.098,52.555,500.722,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-23 16:00:00+00:00,52.556,53.112,52.53,53.004,338.056,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-23 20:00:00+00:00,53.003,53.14,52.688,52.939,263.085,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-24 00:00:00+00:00,52.939,53.298,52.795,53.239,237.746,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-24 04:00:00+00:00,53.24,53.301,52.824,53.185,683.021,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-24 08:00:00+00:00,53.185,53.791,53.011,53.486,490.068,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-24 12:00:00+00:00,53.486,53.568,52.647,52.876,363.32,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-24 16:00:00+00:00,52.875,53.172,52.612,53.023,215.19,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-24 20:00:00+00:00,53.023,53.19,52.872,52.978,204.579,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-25 00:00:00+00:00,52.977,53.414,52.708,53.075,266.058,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-25 04:00:00+00:00,53.076,53.126,52.52,52.601,406.152,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-25 08:00:00+00:00,52.601,52.934,52.333,52.852,1234.68,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-25 12:00:00+00:00,52.852,53.296,52.78,53.09,392.608,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-25 16:00:00+00:00,53.097,53.55,53.075,53.427,231.479,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-25 20:00:00+00:00,53.428,53.532,53.118,53.494,198.069,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-26 00:00:00+00:00,53.493,53.493,52.89,53.109,159.918,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-26 04:00:00+00:00,53.114,53.277,52.678,52.884,173.812,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-26 08:00:00+00:00,52.897,53.263,52.384,53.195,299.832,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-26 12:00:00+00:00,53.188,53.217,52.89,53.023,169.194,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-26 16:00:00+00:00,53.023,53.044,52.77,52.803,79.179,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-26 20:00:00+00:00,52.803,53.006,52.7,52.863,72.618,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-27 00:00:00+00:00,52.863,53.322,52.643,53.1,243.435,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-27 04:00:00+00:00,53.1,53.381,53.099,53.193,155.626,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-27 08:00:00+00:00,53.193,53.246,52.871,52.993,139.313,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-27 12:00:00+00:00,52.993,53.126,52.572,52.956,204.136,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-27 16:00:00+00:00,52.956,53.078,52.6,52.601,94.118,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
